11446443	0.94	0.05	0.05	0.95	0.02	0.02	1.53	0.03	0.03	x	x	x	x	x	x	5850	50	-0.15	0.1
10666592	1.52	0.036	0.036	1.991	0.018	0.018	0.2712	0.0032	0.0032	x	x	x	x	x	x	6350	80	0.26	0.08
8554498	1.13	0.065	0.065	1.747	0.042	0.042	0.296498	0.009175	0.009175	x	x	x	x	x	x	5753	75	0.05	0.101
11853905	1.092	0.073	0.073	1.533	0.04	0.04	0.426899	0.012949	0.012949	x	x	x	x	x	x	5781	76	0.09	0.101
6521045	1.08	0.063	0.063	1.49	0.035	0.035	0.457386	0.012524	0.012524	x	x	x	x	x	x	5825	75	0.02	0.101
8866102	1.242	0.045	0.045	1.361	0.018	0.018	0.689205	0.008766	0.008766	x	x	x	x	x	x	6325	75	0.01	0.101
7051180	1.262	0.089	0.089	2.437	0.072	0.072	0.123799	0.003307	0.003307	x	x	x	x	x	x	5302	75	0.	0.101
3544595	0.909	0.057	0.057	0.921	0.02	0.02	1.639686	0.010214	0.010214	x	x	x	x	x	x	5669	75	-0.18	0.101
11904151	0.895	0.06	0.06	1.056	0.021	0.021	1.068	0.008	0.008	x	x	x	x	x	x	5627	44	-0.15	0.04
7199397	1.33	0.069	0.069	2.527	0.059	0.059	0.115189	0.004049	0.004049	x	x	x	x	x	x	5896	75	-0.17	0.101
5866724	1.273	0.061	0.061	1.424	0.024	0.024	0.621	0.011	0.011	x	x	x	x	x	x	6169	50	0.09	0.08
10593626	0.97	0.06	0.06	0.979	0.02	0.02	1.458	0.03	0.03	x	x	x	x	x	x	5642	50	-0.27	0.08
5780885	1.318	0.089	0.089	1.962	0.066	0.066	0.245213	0.015112	0.015112	x	x	x	x	x	x	6027	75	0.1	0.101
10264660	1.391	0.098	0.098	2.075	0.07	0.07	0.223779	0.013605	0.013605	x	x	x	x	x	x	6378	75	-0.02	0.101
11250587	1.201	0.091	0.091	1.586	0.061	0.061	0.426612	0.032212	0.032212	x	x	x	x	x	x	5862	97	0.27	0.109
4914423	1.094	0.068	0.068	1.436	0.039	0.039	0.513098	0.019708	0.019708	x	x	x	x	x	x	5845	88	0.07	0.109
2306756	1.103	0.097	0.097	1.58	0.064	0.064	0.382369	0.02427	0.02427	x	x	x	x	x	x	5543	79	0.44	0.101
10875245	1.142	0.068	0.068	1.411	0.047	0.047	0.580613	0.049092	0.049092	x	x	x	x	x	x	5851	75	0.27	0.101
3531558	1.023	0.07	0.07	1.357	0.04	0.04	0.581029	0.02957	0.02957	x	x	x	x	x	x	5747	85	0.03	0.101
9471974	1.377	0.089	0.089	2.192	0.121	0.121	0.188002	0.024126	0.024126	x	x	x	x	x	x	5854	92	0.31	0.109
8349582	1.084	0.076	0.076	1.415	0.039	0.039	0.539867	0.018589	0.018589	x	x	x	x	x	x	5699	74	0.3	0.101
5094751	1.039	0.065	0.065	1.323	0.037	0.037	0.640618	0.032259	0.032259	x	x	x	x	x	x	5952	75	-0.08	0.101
11512246	1.078	0.077	0.077	1.548	0.048	0.048	0.409573	0.023151	0.023151	x	x	x	x	x	x	5828	100	-0.05	0.101
4349452	1.187	0.06	0.06	1.309	0.023	0.023	0.74529	0.0086	0.0086	x	x	x	x	x	x	6270	79	-0.04	0.101
8478994	0.803	0.068	0.068	0.772	0.026	0.026	2.458	0.046	0.046	x	x	x	x	x	x	5417	75	-0.32	0.07
11295426	1.079	0.051	0.051	1.243	0.019	0.019	0.7903	0.0054	0.0054	x	x	x	x	x	x	5793	74	0.12	0.074
5514383	1.18	0.053	0.053	1.188	0.022	0.022	0.990273	0.034478	0.034478	x	x	x	x	x	x	6184	81	0.12	0.101
8292840	1.188	0.059	0.059	1.358	0.024	0.024	0.665234	0.00503	0.00503	x	x	x	x	x	x	6239	94	-0.14	0.101
11807274	1.259	0.072	0.072	1.584	0.031	0.031	0.441	0.004	0.004	x	x	x	x	x	x	6225	75	0.	0.08
10514430	1.045	0.064	0.064	1.574	0.039	0.039	0.377636	0.010969	0.010969	x	x	x	x	x	x	5784	98	-0.11	0.109
3425851	1.23	0.058	0.058	1.366	0.026	0.026	0.662171	0.020788	0.020788	x	x	x	x	x	x	6343	85	-0.04	0.101
7670943	1.318	0.057	0.057	1.447	0.026	0.026	0.605248	0.018206	0.018206	x	x	x	x	x	x	6463	110	0.09	0.109
6528464	0.969	0.053	0.053	1.467	0.033	0.033	0.438968	0.016355	0.016355	x	x	x	x	x	x	5588	99	-0.1	0.101
9451706	1.24	0.086	0.086	1.359	0.035	0.035	0.696605	0.023169	0.023169	x	x	x	x	x	x	6106	106	0.33	0.101
3102384	1.069	0.048	0.048	1.081	0.019	0.019	1.192793	0.02458	0.02458	x	x	x	x	x	x	5739	75	0.35	0.101
8077137	1.184	0.074	0.074	1.659	0.038	0.038	0.365322	0.006775	0.006775	x	x	x	x	x	x	6072	75	-0.09	0.101
10586004	1.197	0.094	0.094	1.641	0.051	0.051	0.369518	0.014728	0.014728	x	x	x	x	x	x	5770	83	0.29	0.101
11133306	1.076	0.061	0.061	1.185	0.026	0.026	0.898111	0.031635	0.031635	x	x	x	x	x	x	5982	82	-0.02	0.101
11401755	1.071	0.043	0.043	1.626	0.019	0.019	0.3508	0.0056	0.0056	x	x	x	x	x	x	5911	66	-0.2	0.06
12314973	1.346	0.084	0.084	1.57	0.085	0.085	0.478088	0.064057	0.064057	x	x	x	x	x	x	6215	89	0.28	0.101
4141376	1.032	0.07	0.07	1.042	0.026	0.026	1.280644	0.026722	0.026722	x	x	x	x	x	x	6134	91	-0.24	0.101
